ID,NAME,GP,W,L,PTS,AST,REB,OREB,DREB,FG%,FGM,FGA,2P%,2PM,2PA,3P%,3PM,3PA,FT%,FTM,FTA,BLK,STL,TO,AST/TO,PF,SC-EFF,SH-EFF
294,Jacksonville Dolphins,23.0,11,12,73.08696,11.26087,36.782608,11.782609,25.0,44.56114172935486,14.782609,20.826086,50.919538736343384,443.0,870.0,32.61339068412781,6.5652175,20.130434,70.98121047019958,14.782609,20.826086,3.652174,7.869565,14.347826,0.7848485,20.391304,1.2610652,0.50300074
91,Bellarmine Knights,25.0,6,19,69.0,13.92,32.36,8.2,24.16,43.344709277153015,10.4,13.4,48.72646629810333,440.0,903.0,34.697508811950684,7.8,22.48,77.61194109916687,10.4,13.4,1.88,5.28,10.0,1.392,15.6,1.1774744,0.5
338,Kennesaw State Owls,23.0,13,10,84.478264,15.391304,39.304348,12.608696,26.695652,44.59635317325592,15.086957,22.391304,54.2553186416626,459.0,846.0,32.75362253189087,9.826087,30.0,67.37864017486572,15.086957,22.391304,4.2173915,7.695652,11.782609,1.3062731,19.73913,1.264974,0.51953125
2046,Austin Peay Governors,24.0,11,13,70.541664,11.375,34.125,11.083333,23.041666,43.14129054546356,10.166667,15.625,47.92122542858124,438.0,914.0,35.110294818878174,7.9583335,22.666666,65.06666541099548,10.166667,15.625,3.2083333,7.6666665,8.958333,1.2697674,17.291666,1.1611797,0.49691358
2511,Queens University Royals,24.0,10,14,80.458336,13.583333,37.125,11.208333,25.916666,44.132986664772034,15.0,21.208334,52.03620195388794,460.0,884.0,33.38461518287659,9.041667,27.083334,70.72691321372986,15.0,21.208334,2.9166667,7.5,12.041667,1.1280277,17.5,1.2588005,0.51206
526,Florida Gulf Coast Eagles,25.0,10,15,70.88,11.68,34.68,10.64,24.04,45.301541686058044,11.36,16.68,51.48741602897644,450.0,874.0,35.50724685192108,7.84,22.08,68.10551285743713,11.36,16.68,3.16,5.48,11.36,1.028169,14.44,1.2426368,0.5217391
2110,Central Arkansas Bears,25.0,8,17,72.6,13.84,36.2,11.52,24.68,41.24839007854462,13.16,17.8,45.95162868499756,437.0,951.0,33.83084535598755,8.16,24.12,73.93258213996887,13.16,17.8,3.2,7.6,12.76,1.0846395,17.28,1.1679536,0.47812098
288,Lipscomb Bisons,24.0,14,10,81.0,14.791667,33.125,7.6666665,25.458334,48.69326055049896,12.541667,16.583334,57.058125734329224,481.0,843.0,37.152209877967834,9.458333,25.458334,75.62814354896545,12.541667,16.583334,3.4583333,6.0833335,10.416667,1.42,12.916667,1.3370013,0.56499314
2453,North Alabama Lions,23.0,11,12,77.347824,11.869565,36.695652,10.521739,26.173914,44.56290006637573,15.0,19.956522,49.446901679039,447.0,904.0,35.785287618637085,7.826087,21.869566,75.16340017318726,15.0,19.956522,3.1304348,5.652174,11.086957,1.0705882,18.73913,1.2643924,0.50959486
56,Stetson Hatters,25.0,15,10,76.72,14.24,35.6,9.8,25.8,46.334901452064514,12.04,15.76,53.57142686843872,450.0,840.0,36.939722299575806,9.56,25.88,76.39594078063965,12.04,15.76,2.8,5.2,10.64,1.3383459,14.28,1.2898453,0.5437122
2454,North Florida Ospreys,24.0,13,11,78.5,13.125,34.25,9.291667,24.958334,44.68085169792175,12.125,16.0,54.878050088882446,360.0,656.0,36.329588294029236,12.125,33.375,75.78125,12.125,16.0,3.25,5.7916665,11.375,1.1538461,15.916667,1.2930679,0.5466713
2198,Eastern Kentucky Colonels,23.0,13,10,81.86957,15.478261,41.130436,13.434783,27.695652,45.71428596973419,13.782609,20.130434,51.393187046051025,498.0,969.0,35.44776141643524,8.26087,23.304348,68.46652030944824,13.782609,20.130434,6.0869565,6.826087,11.73913,1.3185185,16.565218,1.2511628,0.52026576
2885,NJIT Highlanders,20.0,5,15,68.85,11.0,35.45,12.3,23.15,39.75000083446503,13.65,19.55,45.92696726322174,327.0,712.0,30.737704038619995,7.5,24.4,69.82097029685974,13.65,19.55,3.55,7.1,11.95,0.92050207,19.7,1.1475,0.46
2066,Binghamton Bearcats,21.0,10,11,71.38095,14.523809,38.285713,10.666667,27.619047,45.782145857810974,12.952381,19.761906,53.1286895275116,450.0,847.0,29.14438545703888,5.1904764,17.809525,65.54216742515564,12.952381,19.761906,3.952381,4.952381,12.095238,1.2007874,16.47619,1.2276822,0.502457
2378,UMBC Retrievers,23.0,7,16,79.0,13.173913,36.695652,9.782609,26.913044,46.585530042648315,10.73913,15.652174,52.041882276535034,497.0,955.0,36.64122223854065,8.347826,22.782608,68.61110925674438,10.73913,15.652174,3.347826,4.826087,13.826087,0.9528302,15.782609,1.2285328,0.53076404
311,Maine Black Bears,23.0,11,12,68.304344,13.086957,32.739132,7.826087,24.913044,44.82758641242981,11.826087,16.304348,51.52542591094971,456.0,885.0,30.714285373687744,5.6086955,18.26087,72.53333330154419,11.826087,16.304348,2.9130435,8.434783,11.565217,1.1315789,16.695652,1.2038314,0.49770114
399,UAlbany Great Danes,23.0,11,12,78.86957,13.434783,36.608696,11.608696,25.0,44.588154554367065,14.478261,20.217392,51.48935914039612,484.0,940.0,32.32514262199402,7.4347825,23.0,71.61290049552917,14.478261,20.217392,3.2608695,8.608696,14.0,0.95962733,19.52174,1.2348536,0.5040844
160,New Hampshire Wildcats,21.0,13,8,77.42857,12.714286,38.42857,9.142858,29.285715,42.70676672458649,14.047619,19.095238,48.82198870182037,373.0,764.0,34.452298283576965,9.285714,26.952381,73.56608510017395,14.047619,19.095238,2.047619,7.6190476,11.809524,1.076613,15.428572,1.2225564,0.5003759
2349,UMass Lowell River Hawks,21.0,15,6,79.95238,13.333333,40.142857,11.190476,28.952381,48.8244503736496,15.142858,20.571428,55.947136878967285,508.0,908.0,31.25,5.4761906,17.52381,73.61111044883728,15.142858,20.571428,4.904762,6.952381,12.904762,1.0332103,14.190476,1.3158307,0.5333072
2803,Bryant Bulldogs,23.0,14,9,79.82609,15.173913,37.695652,7.652174,30.043478,45.55329382419586,12.695652,19.347826,53.05429697036743,469.0,884.0,34.2954158782959,8.782609,25.608696,65.61797857284546,12.695652,19.347826,6.4347825,7.304348,11.73913,1.2925926,17.434782,1.2464359,0.5241005
261,Vermont Catamounts,23.0,18,5,73.04348,14.130435,34.173912,7.2608695,26.913044,47.320061922073364,10.434783,14.478261,56.63474798202515,414.0,731.0,35.47826111316681,8.869565,25.0,72.07207083702087,10.434783,14.478261,3.652174,5.652174,9.0,1.5700483,13.608696,1.2863706,0.55130166
2724,Wichita State Shockers,22.0,9,13,72.40909,11.454545,39.909092,11.818182,28.09091,44.53471302986145,11.318182,16.636364,50.81967115402222,465.0,915.0,31.435078382492065,6.2727275,19.954546,68.03278923034668,11.318182,16.636364,4.590909,6.0454545,12.5,0.91636366,14.909091,1.176514,0.49630722
218,Temple Owls,22.0,8,14,70.59091,11.136364,37.136364,12.454545,24.681818,37.84172534942627,14.318182,19.772728,44.386422634124756,340.0,766.0,29.807692766189575,8.454545,28.363636,72.41379022598267,14.318182,19.772728,2.5,7.7272725,10.636364,1.0470085,16.545454,1.1172662,0.44532374
2636,UTSA Roadrunners,22.0,8,14,80.22727,14.772727,40.090908,13.136364,26.954546,41.806721687316895,16.0,22.227272,48.15286695957184,378.0,785.0,34.05909836292267,9.954545,29.227272,71.9836413860321,16.0,22.227272,4.1363635,5.0454545,11.227273,1.3157895,18.818182,1.2359943,0.4947479
202,Tulsa Golden Hurricane,21.0,12,9,77.71429,12.904762,36.285713,9.571428,26.714285,44.0032422542572,17.571428,23.666666,51.476794481277466,366.0,711.0,33.84321331977844,8.428572,24.904762,74.24547076225281,17.571428,23.666666,3.4285715,8.190476,13.619047,0.94755244,16.952381,1.3225284,0.5117504
242,Rice Owls,22.0,9,13,73.40909,14.772727,36.363636,11.181818,25.181818,43.915343284606934,12.318182,17.772728,51.35135054588318,399.0,777.0,33.33333432674408,8.272727,24.818182,69.30946111679077,12.318182,17.772728,3.409091,6.181818,12.590909,1.1732852,15.181818,1.2207105,0.50793654
2655,Tulane Green Wave,22.0,13,9,85.09091,14.545455,33.454544,6.409091,27.045454,48.83720874786377,20.136364,27.136364,56.70356750488281,461.0,813.0,35.42976975440979,7.681818,21.681818,74.20435547828674,20.136364,27.136364,4.409091,8.181818,10.454545,1.3913044,16.954546,1.4511628,0.553876
151,East Carolina Pirates,23.0,11,12,68.82609,10.869565,35.565216,12.434783,23.130434,41.410353779792786,14.608696,20.913044,48.288074135780334,409.0,847.0,29.423868656158447,6.2173915,21.130434,69.85446810722351,14.608696,20.913044,2.6956522,8.0,10.695652,1.0162601,15.695652,1.1875468,0.46774194
235,Memphis Tigers,22.0,16,6,80.27273,13.272727,37.31818,11.545455,25.772728,45.933735370635986,16.636364,22.40909,52.42718458175659,432.0,824.0,35.31745970249176,8.090909,22.90909,74.23934936523438,16.636364,22.40909,5.0,8.363636,13.590909,0.9765886,17.40909,1.3298193,0.52710843
249,North Texas Mean Green,21.0,12,9,67.2381,10.571428,36.095238,12.047619,24.047619,42.93103516101837,12.047619,16.619047,47.51773178577423,335.0,705.0,35.82417666912079,7.7619047,21.666666,72.49283790588379,12.047619,16.619047,3.142857,6.857143,11.571428,0.91358024,16.761906,1.2172414,0.49956897
2567,SMU Mustangs,22.0,15,7,75.59091,15.863636,40.0,13.636364,26.363636,45.514705777168274,12.090909,17.545454,51.62738561630249,460.0,891.0,33.901917934417725,7.2272725,21.318182,68.91191601753235,12.090909,17.545454,5.0454545,8.454545,11.727273,1.3527132,16.681818,1.2227942,0.5136029
5,UAB Blazers,22.0,14,8,77.40909,12.863636,38.18182,13.045455,25.136364,44.73085701465607,17.954546,24.0,50.76923370361328,462.0,910.0,31.29584491252899,5.818182,18.59091,74.8106062412262,17.954546,24.0,4.5,6.8636365,11.909091,1.0801526,15.954545,1.2911296,0.49583018
2429,Charlotte 49ers,21.0,14,7,69.190475,13.666667,33.095238,8.904762,24.190475,45.44658362865448,13.380953,17.714285,53.69595289230347,385.0,717.0,31.529411673545837,6.3809524,20.238094,75.53763389587402,13.380953,17.714285,3.7142856,6.047619,9.571428,1.4278607,15.428572,1.2723292,0.51313484
2226,Florida Atlantic Owls,22.0,18,4,83.40909,15.227273,38.272728,11.818182,26.454546,48.81305694580078,14.636364,20.636364,56.63390755653381,461.0,814.0,36.8913859128952,8.954545,24.272728,70.92511057853699,14.636364,20.636364,2.8181818,7.4545455,11.318182,1.3453815,15.954545,1.3612759,0.56120175
58,South Florida Bulls,20.0,15,5,75.55,14.85,36.4,10.3,26.1,43.75,15.9,21.8,49.707603454589844,340.0,684.0,35.330578684806824,8.55,24.2,72.93577790260315,15.9,21.8,3.35,7.0,10.95,1.3561643,17.0,1.2936643,0.5107021
139,Saint Louis Billikens,22.0,8,14,71.681816,11.954545,34.045456,8.772727,25.272728,43.57316195964813,15.227273,20.954546,47.89271950721741,375.0,783.0,36.12334728240967,7.4545455,20.636364,72.6681113243103,15.227273,20.954546,2.7727273,5.6363635,12.090909,0.9887218,17.954546,1.2748585,0.502021
2325,La Salle Explorers,22.0,11,11,74.181816,15.136364,34.545456,10.272727,24.272728,42.76410937309265,11.545455,16.09091,48.88613820075989,395.0,808.0,34.14634168148041,8.909091,26.09091,71.75140976905823,11.545455,16.09091,3.5,6.909091,9.454545,1.6009616,16.772728,1.1808972,0.49855283
2166,Davidson Wildcats,21.0,12,9,71.7619,12.571428,35.333332,9.523809,25.809525,43.58333349227905,13.904762,19.380953,51.83016061782837,354.0,683.0,32.68858790397644,8.047619,24.619047,71.74447178840637,13.904762,19.380953,2.6666667,6.3333335,10.333333,1.2165898,15.238095,1.2558334,0.50625
45,George Washington Revolutionaries,21.0,14,8,79.90476,12.571428,39.57143,9.571428,30.0,44.65261399745941,16.619047,22.142857,50.194549560546875,387.0,771.0,36.274510622024536,8.809524,24.285715,75.0537633895874,16.619047,22.142857,5.4761906,6.285714,13.666667,0.9198606,14.238095,1.3099141,0.51873535
2184,Duquesne Dukes,21.0,13,8,72.61905,13.142858,36.190475,11.619047,24.571428,43.031784892082214,14.380953,20.571428,49.86187815666199,361.0,724.0,33.20079445838928,7.952381,23.952381,69.90740895271301,14.380953,20.571428,4.5238094,7.571429,11.904762,1.104,18.0,1.2428688,0.49837002
2230,Fordham Rams,22.0,10,13,73.59091,13.363636,38.0,13.136364,24.863636,41.14158749580383,15.136364,23.227272,47.61306643486023,379.0,796.0,31.826400756835938,8.0,25.136364,65.16634225845337,15.136364,23.227272,5.0,8.590909,13.181818,1.0137931,20.272728,1.2001482,0.47664937
2244,George Mason Patriots,22.0,15,7,73.454544,11.909091,36.863636,10.227273,26.636364,46.26129865646362,15.136364,20.272728,52.79583930969238,406.0,769.0,35.04464328289032,7.1363635,20.363636,74.66367483139038,15.136364,20.272728,3.3636363,5.590909,11.318182,1.0522088,16.363636,1.3278553,0.5271159
179,St. Bonaventure Bonnies,21.0,13,8,73.666664,12.809524,33.857143,10.571428,23.285715,45.51386535167694,12.523809,16.0,51.31579041481018,390.0,760.0,36.05150282382965,8.0,22.190475,78.27380895614624,12.523809,16.0,3.8095238,6.5238094,10.571428,1.2117118,16.809525,1.2618271,0.52365416
2603,Saint Joseph's Hawks,22.0,15,8,77.86364,15.136364,37.0,10.181818,26.818182,45.668694376945496,12.772727,17.454546,52.924394607543945,371.0,701.0,37.39837408065796,10.454545,27.954546,73.17708134651184,12.772727,17.454546,3.7272727,6.909091,11.409091,1.3266932,15.545455,1.3016717,0.5440729
