ID,GROUP_ID,DISPLAY_NAME,SLUG,ABBREVIATION,SHORT_NAME,TEAM_NAME,WINS,LOSSES,STANDING,STREAK,GB
91,46,Bellarmine Knights,bellarmine_knights,BELL,Bellarmine,Knights,6.0,21.0,12.0,-4.0,11.0
294,46,Jacksonville Dolphins,jacksonville_dolphins,JAX,Jacksonville,Dolphins,13.0,14.0,11.0,-2.0,4.0
338,46,Kennesaw State Owls,kennesaw_state_owls,KENN,Kennesaw St,Owls,14.0,13.0,8.0,-1.0,3.0
2511,46,Queens University Royals,queens_university_royals,QUOC,Queens,Royals,11.0,17.0,9.0,1.0,6.5
2110,46,Central Arkansas Bears,central_arkansas_bears,CARK,C Arkansas,Bears,9.0,20.0,10.0,-2.0,9.0
526,46,Florida Gulf Coast Eagles,florida_gulf_coast_eagles,FGCU,FGCU,Eagles,11.0,16.0,7.0,-1.0,6.0
2453,46,North Alabama Lions,north_alabama_lions,UNA,North Alabama,Lions,13.0,14.0,6.0,-1.0,4.0
288,46,Lipscomb Bisons,lipscomb_bisons,LIP,Lipscomb,Bisons,17.0,11.0,3.0,1.0,0.5
2046,46,Austin Peay Governors,austin_peay_governors,APSU,Austin Peay,Governors,15.0,13.0,4.0,5.0,2.5
2454,46,North Florida Ospreys,north_florida_ospreys,UNF,North Florida,Ospreys,15.0,13.0,5.0,2.0,2.5
56,46,Stetson Hatters,stetson_hatters,STET,Stetson,Hatters,17.0,10.0,2.0,4.0,0.0
2198,46,Eastern Kentucky Colonels,eastern_kentucky_colonels,EKU,E Kentucky,Colonels,15.0,11.0,1.0,2.0,1.5
2885,1,NJIT Highlanders,njit_highlanders,NJIT,NJIT,Highlanders,7.0,17.0,9.0,-2.0,12.5
311,1,Maine Black Bears,maine_black_bears,ME,Maine,Black Bears,11.0,15.0,8.0,-3.0,9.5
2066,1,Binghamton Bearcats,binghamton_bearcats,BING,Binghamton,Bearcats,12.0,13.0,7.0,1.0,8.0
2378,1,UMBC Retrievers,umbc_retrievers,UMBC,UMBC,Retrievers,9.0,18.0,6.0,2.0,12.0
399,1,UAlbany Great Danes,ualbany_great_danes,ALB,UAlbany,Great Danes,12.0,14.0,5.0,-1.0,8.5
160,1,New Hampshire Wildcats,new_hampshire_wildcats,UNH,New Hampshire,Wildcats,14.0,10.0,4.0,-1.0,5.5
2349,1,UMass Lowell River Hawks,umass_lowell_river_hawks,UML,UMass Lowell,River Hawks,17.0,7.0,3.0,1.0,2.5
2803,1,Bryant Bulldogs,bryant_bulldogs,BRY,Bryant,Bulldogs,17.0,10.0,2.0,-1.0,4.0
261,1,Vermont Catamounts,vermont_catamounts,UVM,Vermont,Catamounts,21.0,6.0,1.0,3.0,0.0
2724,62,Wichita State Shockers,wichita_state_shockers,WICH,Wichita St,Shockers,10.0,16.0,13.0,-3.0,10.0
218,62,Temple Owls,temple_owls,TEM,Temple,Owls,9.0,17.0,12.0,1.0,11.0
2636,62,UTSA Roadrunners,utsa_roadrunners,UTSA,UTSA,Roadrunners,8.0,18.0,14.0,-6.0,12.0
242,62,Rice Owls,rice_owls,RICE,Rice,Owls,9.0,16.0,11.0,-3.0,10.5
2655,62,Tulane Green Wave,tulane_green_wave,TULN,Tulane,Green Wave,13.0,12.0,9.0,-3.0,6.5
202,62,Tulsa Golden Hurricane,tulsa_golden_hurricane,TLSA,Tulsa,Golden Hurricane,13.0,12.0,10.0,1.0,6.5
235,62,Memphis Tigers,memphis_tigers,MEM,Memphis,Tigers,18.0,8.0,7.0,-2.0,2.0
249,62,North Texas Mean Green,north_texas_mean_green,UNT,North Texas,Mean Green,14.0,11.0,6.0,-1.0,5.5
151,62,East Carolina Pirates,east_carolina_pirates,ECU,East Carolina,Pirates,14.0,12.0,8.0,3.0,6.0
5,62,UAB Blazers,uab_blazers,UAB,UAB,Blazers,17.0,8.0,5.0,3.0,2.5
2226,62,Florida Atlantic Owls,florida_atlantic_owls,FAU,FAU,Owls,20.0,6.0,3.0,-1.0,0.0
2567,62,SMU Mustangs,smu_mustangs,SMU,SMU,Mustangs,19.0,7.0,4.0,6.0,1.0
2429,62,Charlotte 49ers,charlotte_49ers,CLT,Charlotte,49ers,17.0,8.0,2.0,3.0,2.5
58,62,South Florida Bulls,south_florida_bulls,USF,South Florida,Bulls,19.0,5.0,1.0,11.0,0.0
139,3,Saint Louis Billikens,saint_louis_billikens,SLU,Saint Louis,Billikens,9.0,16.0,15.0,-2.0,12.0
2325,3,La Salle Explorers,la_salle_explorers,LAS,La Salle,Explorers,12.0,14.0,14.0,1.0,9.5
45,3,George Washington Revolutionaries,george_washington_revolutionaries,GW,G Washington,Revolutionaries,14.0,11.0,13.0,-8.0,7.0
2166,3,Davidson Wildcats,davidson_wildcats,DAV,Davidson,Wildcats,14.0,11.0,11.0,-1.0,7.0
2230,3,Fordham Rams,fordham_rams,FOR,Fordham,Rams,10.0,15.0,12.0,-3.0,11.0
2184,3,Duquesne Dukes,duquesne_dukes,DUQ,Duquesne,Dukes,15.0,10.0,9.0,1.0,6.0
227,3,Rhode Island Rams,rhode_island_rams,URI,Rhode Island,Rams,11.0,14.0,10.0,-2.0,10.0
2603,3,Saint Joseph's Hawks,saint_joseph's_hawks,JOES,Saint Joseph's,Hawks,16.0,10.0,8.0,-2.0,5.5
2244,3,George Mason Patriots,george_mason_patriots,GMU,George Mason,Patriots,17.0,8.0,7.0,2.0,4.0
179,3,St. Bonaventure Bonnies,st._bonaventure_bonnies,SBU,St Bonaventure,Bonnies,16.0,9.0,5.0,2.0,5.0
113,3,Massachusetts Minutemen,massachusetts_minutemen,MASS,UMass,Minutemen,16.0,9.0,6.0,-1.0,5.0
2670,3,VCU Rams,vcu_rams,VCU,VCU,Rams,17.0,8.0,4.0,4.0,4.0
257,3,Richmond Spiders,richmond_spiders,RICH,Richmond,Spiders,18.0,7.0,3.0,1.0,3.0
2168,3,Dayton Flyers,dayton_flyers,DAY,Dayton,Flyers,21.0,4.0,1.0,2.0,0.0
2350,3,Loyola Chicago Ramblers,loyola_chicago_ramblers,LUC,Loyola Chicago,Ramblers,19.0,7.0,2.0,6.0,2.5
97,2,Louisville Cardinals,louisville_cardinals,LOU,Louisville,Cardinals,8.0,18.0,15.0,-2.0,12.5
59,2,Georgia Tech Yellow Jackets,georgia_tech_yellow_jackets,GT,Georgia Tech,Yellow Jackets,11.0,15.0,14.0,1.0,9.5
87,2,Notre Dame Fighting Irish,notre_dame_fighting_irish,ND,Notre Dame,Fighting Irish,9.0,16.0,13.0,2.0,11.0
2390,2,Miami Hurricanes,miami_hurricanes,MIA,Miami,Hurricanes,15.0,11.0,12.0,-4.0,5.5
103,2,Boston College Eagles,boston_college_eagles,BC,Boston College,Eagles,15.0,10.0,11.0,2.0,5.0
259,2,Virginia Tech Hokies,virginia_tech_hokies,VT,Virginia Tech,Hokies,14.0,11.0,10.0,-1.0,6.0
183,2,Syracuse Orange,syracuse_orange,SYR,Syracuse,Orange,16.0,10.0,9.0,-1.0,4.5
228,2,Clemson Tigers,clemson_tigers,CLEM,Clemson,Tigers,17.0,8.0,7.0,-1.0,3.0
52,2,Florida State Seminoles,florida_state_seminoles,FSU,Florida St,Seminoles,13.0,12.0,8.0,-3.0,7.0
221,2,Pittsburgh Panthers,pittsburgh_panthers,PITT,Pitt,Panthers,17.0,8.0,4.0,5.0,3.0
152,2,NC State Wolfpack,nc_state_wolfpack,NCSU,NC State,Wolfpack,16.0,9.0,5.0,1.0,4.0
154,2,Wake Forest Demon Deacons,wake_forest_demon_deacons,WAKE,Wake Forest,Demon Deacons,16.0,9.0,6.0,-2.0,4.0
258,2,Virginia Cavaliers,virginia_cavaliers,UVA,Virginia,Cavaliers,20.0,6.0,3.0,1.0,0.5
150,2,Duke Blue Devils,duke_blue_devils,DUKE,Duke,Blue Devils,20.0,5.0,2.0,4.0,0.0
153,2,North Carolina Tar Heels,north_carolina_tar_heels,UNC,North Carolina,Tar Heels,20.0,6.0,1.0,1.0,0.5
197,8,Oklahoma State Cowboys,oklahoma_state_cowboys,OKST,Oklahoma St,Cowboys,11.0,14.0,13.0,1.0,11.0
277,8,West Virginia Mountaineers,west_virginia_mountaineers,WVU,West Virginia,Mountaineers,8.0,17.0,14.0,-4.0,14.0
2116,8,UCF Knights,ucf_knights,UCF,UCF,Knights,13.0,11.0,12.0,-3.0,8.5
251,8,Texas Longhorns,texas_longhorns,TEX,Texas,Longhorns,16.0,9.0,9.0,-1.0,6.0
2132,8,Cincinnati Bearcats,cincinnati_bearcats,CIN,Cincinnati,Bearcats,16.0,9.0,10.0,1.0,6.0
2306,8,Kansas State Wildcats,kansas_state_wildcats,KSU,Kansas St,Wildcats,15.0,10.0,11.0,-2.0,7.0
201,8,Oklahoma Sooners,oklahoma_sooners,OU,Oklahoma,Sooners,18.0,8.0,8.0,-2.0,4.5
252,8,BYU Cougars,byu_cougars,BYU,BYU,Cougars,18.0,7.0,7.0,-1.0,4.0
2628,8,TCU Horned Frogs,tcu_horned_frogs,TCU,TCU,Horned Frogs,18.0,7.0,5.0,2.0,4.0
2641,8,Texas Tech Red Raiders,texas_tech_red_raiders,TTU,Texas Tech,Red Raiders,18.0,7.0,6.0,-1.0,4.0
2305,8,Kansas Jayhawks,kansas_jayhawks,KU,Kansas,Jayhawks,20.0,6.0,4.0,1.0,2.5
239,8,Baylor Bears,baylor_bears,BAY,Baylor,Bears,19.0,6.0,3.0,2.0,3.0
248,8,Houston Cougars,houston_cougars,HOU,Houston,Cougars,22.0,3.0,2.0,3.0,0.0
66,8,Iowa State Cyclones,iowa_state_cyclones,ISU,Iowa State,Cyclones,20.0,5.0,1.0,4.0,2.0
305,4,DePaul Blue Demons,depaul_blue_demons,DEP,DePaul,Blue Demons,3.0,22.0,11.0,-13.0,20.5
46,4,Georgetown Hoyas,georgetown_hoyas,GTWN,Georgetown,Hoyas,8.0,17.0,10.0,-10.0,15.5
